pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,st_teff
"Kepler-1266 c","Kepler-1266",4.86631012000,1.68023962,,4996.00
"Kepler-357 c","Kepler-357",16.85837000000,2.67000000,,5036.00
"Kepler-174 d","Kepler-174",247.35373000000,2.19000000,,4880.00
"GJ 463 b","GJ 463",3459.00000000000,,524.09904314,3563.00
"K2-391 b","K2-391",4.62265400000,1.37100000,,5543.00
"Kepler-198 d","Kepler-198",1.31184443000,1.53000000,,5636.00
"TOI-1117 b","TOI-1117",2.22816000000,2.46000000,8.90000000,5635.00
"HD 11506 b","HD 11506",1617.70000000000,,1525.57635360,6123.00
"Kepler-1152 b","Kepler-1152",1.64680190800,0.87000000,,3964.00
"TOI-3486 b","TOI-3486",2.21778105000,10.57006880,99.16246298,4930.00
"K2-216 b","K2-216",2.17480000000,1.75000000,8.00000000,4503.00
"WASP-34 b","WASP-34",4.31768000000,11.20900000,177.98480000,5700.00
"HD 98649 b","HD 98649",5384.00000000000,,3082.93554790,
"Kepler-967 c","Kepler-967",198.71125020000,3.65000000,,5178.00
"Kepler-327 d","Kepler-327",13.96945700000,1.73000000,,3799.00
"WASP-93 b","WASP-93",2.73253210000,17.90077300,467.21010000,6700.00
"Kepler-1874 b","Kepler-1874",56.57320023000,2.21110724,,4701.00
"TOI-2096 b","TOI-2096",3.11906330000,1.24300000,,3300.00
"CoRoT-28 b","CoRoT-28",5.20851000000,10.70459500,153.82972000,5150.00
"K2-275 c","K2-275",8.43883850000,2.21000000,,4841.00
"TOI-5789 c","TOI-5789",12.92774800000,2.86000000,5.00000000,5185.00
"Kepler-1050 c","Kepler-1050",21.12845690000,1.48000000,,6010.00
"Kepler-275 b","Kepler-275",10.30068200000,2.34000000,,6165.00
"OGLE-2014-BLG-1760L b","OGLE-2014-BLG-1760L",,,295.89824692,
"HD 96700 b","HD 96700",8.12450000000,,8.90000000,5845.00
"Kepler-464 b","Kepler-464",7.25696522400,3.30000000,,5933.00
"Kepler-297 c","Kepler-297",74.92013700000,6.54000000,,5619.00
"Kepler-454 b","Kepler-454",10.57375340000,2.37000000,5.40000000,5687.00
"TOI-5027 b","TOI-5027",10.24368000000,10.76062147,642.01338214,5909.00
"Kepler-834 b","Kepler-834",13.32388301000,2.02000000,,4554.00
"K2-105 b","K2-105",8.26726000000,3.40000000,15.40000000,5373.00
"Kepler-1228 b","Kepler-1228",0.57736957900,1.54000000,,5063.00
"HAT-P-46 b","HAT-P-46",4.46312900000,14.39200000,156.68400000,6120.00
"Kepler-100 d","Kepler-100",35.33310000000,1.61000000,3.00000000,5825.00
"Kepler-1208 b","Kepler-1208",11.08507637000,2.32000000,,5001.00
"16 Cyg B b","16 Cyg B",798.50000000000,,565.73740000,5750.00
"Kepler-1481 b","Kepler-1481",5.94220998000,1.23000000,,4908.00
"HD 175607 b","HD 175607",29.01000000000,,8.98000000,5392.00
"HD 109749 b","HD 109749",5.23989100000,,85.81410000,5824.00
"Kepler-1166 b","Kepler-1166",33.24068820000,1.69000000,,5446.00
"Kepler-157 c","Kepler-157",13.54050000000,2.24000000,,5774.00
"Kepler-837 b","Kepler-837",16.56059504000,2.56000000,,5403.00
"Kepler-360 c","Kepler-360",7.18643400000,2.10000000,,6053.00
"K2-333 b","K2-333",14.75928700000,6.18000000,,5880.00
"HD 27894 c","HD 27894",36.07000000000,,51.48846000,
"Kepler-1165 c","Kepler-1165",29.96870041000,3.36093385,,6249.00
"Kepler-371 c","Kepler-371",67.96801500000,1.78000000,,5666.00
"K2-350 b","K2-350",4.16387300000,1.54000000,,5789.00
"NGTS-6 b","NGTS-6",0.88205900000,14.86313400,425.57437000,4730.00
"Kepler-419 b","Kepler-419",69.75460000000,10.80000000,794.50000000,6430.00
"Kepler-1515 b","Kepler-1515",214.31141640000,9.55000000,,6511.00
"Kepler-540 b","Kepler-540",172.70497840000,2.71000000,,5946.00
"HATS-26 b","HATS-26",3.30238810000,19.61575000,206.58950000,6071.00
"Kepler-85 b","Kepler-85",8.30000000000,1.77800000,1.84000000,5505.20
"K2-16 c","K2-16",19.07863000000,2.54000000,,4742.00
"TOI-7510 c","TOI-7510",22.56874230000,10.81000000,131.00000000,5720.00
"Kepler-805 b","Kepler-805",30.86389310000,2.89000000,,6112.00
"YZ Cet d","YZ Cet",4.65626000000,,1.09000000,3151.00
"WASP-68 b","WASP-68",5.08430000000,14.79588000,343.25640000,5910.00
"HD 97658 b","HD 97658",9.48971160000,2.12000000,8.30000000,5212.00
"Kepler-1379 b","Kepler-1379",0.88184114600,1.30000000,,5188.00
"Kepler-1850 b","Kepler-1850",1.38580000400,0.72909663,,4239.00
"Kepler-1943 b","Kepler-1943",4.85018014900,1.54869189,,6032.00
"Kepler-519 b","Kepler-519",24.30789460000,2.10000000,,5260.00
"Kepler-661 b","Kepler-661",6.02930132100,3.07000000,,4483.00
"Kepler-1813 b","Kepler-1813",2.81816005700,1.41300000,,5167.00
"Kepler-237 b","Kepler-237",4.71510600000,1.41000000,,4861.00
"Kepler-177 b","Kepler-177",36.86010000000,3.50000000,5.84000000,5732.00
"K2-237 b","K2-237",2.18053332000,16.06246934,434.15360396,6180.00
"TIC 139702105 b","TIC 139702105",6.83601903383,2.45316949,,5742.35
"Kepler-696 b","Kepler-696",4.19042557500,6.14000000,,5903.00
"Kepler-1846 b","Kepler-1846",14.82009983000,1.76378826,,4825.00
"Kepler-1456 b","Kepler-1456",18.13738290000,1.14000000,,4231.00
"Kepler-137 b","Kepler-137",8.43638700000,1.47000000,,5187.00
"K2-11 b","K2-11",39.93767000000,7.55000000,,5433.00
"Kepler-248 b","Kepler-248",6.30820500000,3.02000000,,5190.00
"CoRoT-11 b","CoRoT-11",2.99433000000,16.03000000,740.51000000,6440.00
"Kepler-419 c","Kepler-419",675.47000000000,,2320.10000000,6430.00
"TOI-1759 b","TOI-1759",18.85019000000,3.14000000,10.80000000,4065.00
"TOI-2081 b","TOI-2081",10.50534000000,2.04000000,,3800.00
"Kepler-55 d","Kepler-55",2.21109900000,1.59000000,,4503.00
"K2-73 c","K2-73",1000.00000000000,,1142.00000000,5867.00
"WASP-160 B b","WASP-160 B",3.76849520000,12.21781000,88.35674000,5298.00
"TOI-6034 b","TOI-6034",2.57618400000,11.92000000,254.00000000,3635.00
"HIP 75092 b","HIP 75092",926.40000000000,,568.91284853,4891.00
"TOI-139 b","TOI-139",11.07085000000,2.45660000,,4570.00
"TOI-269 b","TOI-269",3.69771040000,2.77000000,8.80000000,3514.00
"Kepler-31 d","Kepler-31",87.64510000000,3.90000000,2161.24400000,6340.00
"Kepler-109 c","Kepler-109",21.22265000000,2.65000000,8.20000000,5950.00
"Kepler-1397 b","Kepler-1397",47.44995500000,1.72000000,,6026.00
"WTS-2 b","WTS-2",1.01870680000,15.27786700,355.96960000,5000.00
"TIC 160113658 b","TIC 160113658",6.72952262077,3.49015778,,4817.31
"HAT-P-44 b","HAT-P-44",4.30121900000,13.92200000,111.87100000,5295.00
"K2-75 b","K2-75",7.81420000000,2.67000000,,5995.00
"Kepler-1945 b","Kepler-1945",6.08003997800,1.28900000,,4991.00
"TOI-1789 b","TOI-1789",3.20866400000,16.14093221,222.47988490,5991.00
"Kepler-1092 b","Kepler-1092",58.60179250000,2.07000000,,5862.00
"K2-186 b","K2-186",41.47421900000,3.17207779,,5784.00
"Kepler-1497 b","Kepler-1497",8.74199772000,1.66000000,,5675.00
"HD 154088 b","HD 154088",18.56000000000,,6.60000000,5374.00
"KMT-2021-BLG-1391L b","KMT-2021-BLG-1391L",,,4.55000000,
"Kepler-1193 b","Kepler-1193",2.83265213400,1.32000000,,5908.00
"OGLE-2012-BLG-0358L b","OGLE-2012-BLG-0358L",,,588.00000000,
"Kepler-15 b","Kepler-15",4.94278200000,10.76000000,209.76000000,5515.00
"KMT-2021-BLG-0240L b","KMT-2021-BLG-0240L",,,66.74396547,
"TOI-3464 b","TOI-3464",3.65155680000,13.76462830,397.28550875,6370.00
"TOI-209 b","TOI-209",4.37943587445,2.39472090,,4806.66
"HD 33844 c","HD 33844",916.00000000000,,556.20250000,4861.00
"HAT-P-2 c","HAT-P-2",8500.00000000000,,3400.76395490,
"Kepler-201 c","Kepler-201",151.88405800000,2.85000000,,6065.00
"Kepler-29 b","Kepler-29",10.33974000000,2.55000000,5.00000000,5378.00
"Kepler-233 c","Kepler-233",60.41895500000,2.71000000,,5360.00
"K2-254 c","K2-254",12.11839000000,2.19000000,,4629.00
"TOI-4137 b","TOI-4137",3.80161220000,13.57407563,457.67290608,6202.00
"Kepler-918 b","Kepler-918",4.85386933000,1.74000000,,6028.00
"Kepler-338 e","Kepler-338",9.34100000000,1.56000000,8.50000000,
"Kepler-416 b","Kepler-416",6.31900000000,2.48000000,58.20000000,
"Kepler-46 b","Kepler-46",33.60134000000,9.05700000,1907.00000000,5155.00
"Kepler-46 c","Kepler-46",57.01100000000,,119.49900000,5155.00
"Kepler-82 d","Kepler-82",2.38296100000,1.77000000,,5428.00
"Kepler-82 e","Kepler-82",5.90220600000,2.47000000,,5428.00
"Kepler-247 b","Kepler-247",3.33616000000,1.64000000,,5100.00
"Kepler-338 b","Kepler-338",13.72697600000,2.44000000,,5923.00
